Iteration,Step,Inverter,Other,Total
0,None,10,8,20
1,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,7,8,17
,Subst,7,8,17
,Maj-2,7,8,17
,Dist-2,6,8,16
2,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,7,8,17
,Subst,7,8,17
,Maj-2,7,8,17
,Dist-2,7,8,17
3,InvProp,7,8,17
,TrivRep,7,8,17
,Maj-1,7,8,17
,Dist-1,7,8,17
,Assoc,7,8,17
,CompAss,7,8,17
,Relev,8,8,18
,Subst,8,8,18
,Maj-2,8,8,18
,Dist-2,8,8,18
4,InvProp,8,8,18
,TrivRep,8,8,18
,Maj-1,8,8,18
,Dist-1,8,8,18
,Assoc,8,8,18
,CompAss,8,8,18
,Relev,9,8,19
,Subst,9,8,19
,Maj-2,9,8,19
,Dist-2,8,8,18
5,InvProp,8,8,18
,TrivRep,8,8,18
,Maj-1,8,8,18
,Dist-1,8,8,18
,Assoc,8,8,18
,CompAss,8,8,18
,Relev,8,8,18
,Subst,8,8,18
,Maj-2,8,8,18
,Dist-2,8,8,18
6,InvProp,8,8,18
,TrivRep,8,8,18
,Maj-1,8,8,18
,Dist-1,8,8,18
,Assoc,8,8,18
,CompAss,8,8,18
,Relev,8,8,18
,Subst,8,8,18
,Maj-2,8,8,18
,Dist-2,8,8,18
7,InvProp,8,8,18
,TrivRep,8,8,18
,Maj-1,8,8,18
,Dist-1,8,8,18
,Assoc,8,8,18
,CompAss,8,8,18
,Relev,10,8,20
,Subst,10,8,20
,Maj-2,10,8,20
,Dist-2,8,8,18
8,InvProp,8,8,18
,TrivRep,8,8,18
,Maj-1,8,8,18
,Dist-1,8,8,18
,Assoc,8,8,18
,CompAss,8,8,18
,Relev,9,8,19
,Subst,9,8,19
,Maj-2,9,8,19
,Dist-2,8,8,18
9,InvProp,8,8,18
,TrivRep,8,8,18
,Maj-1,8,8,18
,Dist-1,8,8,18
,Assoc,8,8,18
,CompAss,8,8,18
,Relev,8,8,18
,Subst,8,8,18
,Maj-2,8,8,18
,Dist-2,8,8,18
10,InvProp,8,8,18
,TrivRep,8,8,18
,Maj-1,8,8,18
,Dist-1,8,8,18
,Assoc,8,8,18
,CompAss,8,8,18
,Relev,9,8,19
,Subst,12,12,26
,Maj-2,12,12,26
,Dist-2,12,12,26
11,InvProp,12,12,26
,TrivRep,13,12,27
,Maj-1,13,12,27
,Dist-1,13,12,27
,Assoc,13,12,27
,CompAss,13,12,27
,Relev,13,12,27
,Subst,13,12,27
,Maj-2,13,12,27
,Dist-2,12,12,26
12,InvProp,12,12,26
,TrivRep,12,12,26
,Maj-1,12,12,26
,Dist-1,12,12,26
,Assoc,12,12,26
,CompAss,12,12,26
,Relev,12,12,26
,Subst,12,12,26
,Maj-2,12,12,26
,Dist-2,12,12,26
13,InvProp,12,12,26
,TrivRep,12,12,26
,Maj-1,12,12,26
,Dist-1,12,12,26
,Assoc,12,12,26
,CompAss,12,12,26
,Relev,12,12,26
,Subst,12,12,26
,Maj-2,12,12,26
,Dist-2,12,12,26
14,InvProp,12,12,26
,TrivRep,12,12,26
,Maj-1,12,12,26
,Dist-1,12,12,26
,Assoc,12,12,26
,CompAss,12,12,26
,Relev,13,12,27
,Subst,14,17,33
,Maj-2,14,15,31
,Dist-2,12,14,28
15,InvProp,12,14,28
,TrivRep,12,14,28
,Maj-1,12,14,28
,Dist-1,12,14,28
,Assoc,12,14,28
,CompAss,12,14,28
,Relev,12,14,28
,Subst,12,14,28
,Maj-2,12,14,28
,Dist-2,12,14,28
16,InvProp,12,14,28
,TrivRep,12,14,28
,Maj-1,12,14,28
,Dist-1,12,14,28
,Assoc,12,14,28
,CompAss,12,14,28
,Relev,12,14,28
,Subst,12,14,28
,Maj-2,12,14,28
,Dist-2,12,14,28
17,InvProp,12,14,28
,TrivRep,12,14,28
,Maj-1,12,14,28
,Dist-1,12,14,28
,Assoc,12,14,28
,CompAss,12,14,28
,Relev,12,14,28
,Subst,12,14,28
,Maj-2,12,14,28
,Dist-2,12,14,28
18,InvProp,12,14,28
,TrivRep,12,14,28
,Maj-1,12,14,28
,Dist-1,12,14,28
,Assoc,12,14,28
,CompAss,12,14,28
,Relev,12,14,28
,Subst,12,14,28
,Maj-2,12,14,28
,Dist-2,12,14,28
19,InvProp,12,14,28
,TrivRep,12,14,28
,Maj-1,12,14,28
,Dist-1,12,14,28
,Assoc,12,14,28
,CompAss,12,14,28
,Relev,13,14,29
,Subst,13,14,29
,Maj-2,13,14,29
,Dist-2,12,14,28
20,InvProp,12,14,28
,TrivRep,12,14,28
,Maj-1,12,14,28
,Dist-1,12,14,28
,Assoc,12,14,28
,CompAss,12,14,28
,Relev,12,14,28
,Subst,12,14,28
,Maj-2,12,14,28
,Dist-2,12,14,28
