Iteration,Step,Inverter,Other,Total
0,None,10,8,20
1,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,6,8,16
,Subst,6,8,16
,Maj-2,6,8,16
,Dist-2,5,8,15
2,InvProp,5,8,15
,TrivRep,5,8,15
,Maj-1,5,8,15
,Dist-1,5,8,15
,Assoc,5,8,15
,CompAss,5,8,15
,Relev,5,8,15
,Subst,5,8,15
,Maj-2,5,8,15
,Dist-2,5,8,15
3,InvProp,5,8,15
,TrivRep,5,8,15
,Maj-1,5,8,15
,Dist-1,5,8,15
,Assoc,5,8,15
,CompAss,5,8,15
,Relev,6,8,16
,Subst,6,8,16
,Maj-2,6,8,16
,Dist-2,6,8,16
4,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,6,8,16
,Subst,6,8,16
,Maj-2,6,8,16
,Dist-2,6,8,16
5,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,6,8,16
,Subst,6,8,16
,Maj-2,6,8,16
,Dist-2,6,8,16
6,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,6,8,16
,Subst,6,8,16
,Maj-2,6,8,16
,Dist-2,6,8,16
7,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,7,8,17
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,12,18,32
8,InvProp,12,18,32
,TrivRep,14,18,34
,Maj-1,14,18,34
,Dist-1,14,18,34
,Assoc,14,18,34
,CompAss,14,18,34
,Relev,14,18,34
,Subst,14,18,34
,Maj-2,14,18,34
,Dist-2,12,18,32
9,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,12,18,32
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,12,18,32
10,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,13,18,33
,Subst,13,18,33
,Maj-2,13,18,33
,Dist-2,13,18,33
11,InvProp,13,18,33
,TrivRep,13,18,33
,Maj-1,13,18,33
,Dist-1,13,18,33
,Assoc,13,18,33
,CompAss,13,18,33
,Relev,13,18,33
,Subst,13,18,33
,Maj-2,13,18,33
,Dist-2,13,18,33
12,InvProp,13,18,33
,TrivRep,13,18,33
,Maj-1,13,18,33
,Dist-1,13,18,33
,Assoc,13,18,33
,CompAss,13,18,33
,Relev,13,18,33
,Subst,13,18,33
,Maj-2,13,18,33
,Dist-2,13,18,33
13,InvProp,13,18,33
,TrivRep,13,18,33
,Maj-1,13,18,33
,Dist-1,13,18,33
,Assoc,13,18,33
,CompAss,13,18,33
,Relev,14,18,34
,Subst,14,18,34
,Maj-2,14,18,34
,Dist-2,13,18,33
14,InvProp,13,18,33
,TrivRep,13,18,33
,Maj-1,13,18,33
,Dist-1,13,18,33
,Assoc,13,18,33
,CompAss,13,18,33
,Relev,13,18,33
,Subst,19,26,47
,Maj-2,19,23,44
,Dist-2,16,22,40
15,InvProp,16,22,40
,TrivRep,16,22,40
,Maj-1,16,22,40
,Dist-1,16,22,40
,Assoc,16,22,40
,CompAss,16,22,40
,Relev,16,22,40
,Subst,16,22,40
,Maj-2,16,22,40
,Dist-2,16,22,40
16,InvProp,16,22,40
,TrivRep,16,22,40
,Maj-1,16,22,40
,Dist-1,16,22,40
,Assoc,16,22,40
,CompAss,16,22,40
,Relev,16,22,40
,Subst,16,22,40
,Maj-2,16,22,40
,Dist-2,16,22,40
17,InvProp,16,22,40
,TrivRep,16,22,40
,Maj-1,16,22,40
,Dist-1,16,22,40
,Assoc,16,22,40
,CompAss,16,22,40
,Relev,16,22,40
,Subst,16,22,40
,Maj-2,16,22,40
,Dist-2,16,22,40
18,InvProp,16,22,40
,TrivRep,16,22,40
,Maj-1,16,22,40
,Dist-1,16,22,40
,Assoc,16,22,40
,CompAss,16,22,40
,Relev,16,22,40
,Subst,17,26,45
,Maj-2,17,24,43
,Dist-2,16,24,42
19,InvProp,16,24,42
,TrivRep,16,24,42
,Maj-1,16,24,42
,Dist-1,16,24,42
,Assoc,16,24,42
,CompAss,16,24,42
,Relev,16,24,42
,Subst,16,24,42
,Maj-2,16,24,42
,Dist-2,16,24,42
20,InvProp,16,24,42
,TrivRep,16,24,42
,Maj-1,16,24,42
,Dist-1,16,24,42
,Assoc,16,24,42
,CompAss,16,24,42
,Relev,16,24,42
,Subst,16,24,42
,Maj-2,16,24,42
,Dist-2,16,24,42
