Iteration,Step,Inverter,Other,Total
0,None,10,8,20
1,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,6,8,16
,Subst,6,8,16
,Maj-2,6,8,16
,Dist-2,6,8,16
2,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,7,8,17
,Subst,7,8,17
,Maj-2,7,8,17
,Dist-2,6,8,16
3,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,7,8,17
,Subst,7,8,17
,Maj-2,7,8,17
,Dist-2,7,8,17
4,InvProp,7,8,17
,TrivRep,7,8,17
,Maj-1,7,8,17
,Dist-1,7,8,17
,Assoc,7,8,17
,CompAss,7,8,17
,Relev,8,8,18
,Subst,8,8,18
,Maj-2,8,8,18
,Dist-2,7,8,17
5,InvProp,7,8,17
,TrivRep,7,8,17
,Maj-1,7,8,17
,Dist-1,7,8,17
,Assoc,7,8,17
,CompAss,7,8,17
,Relev,8,8,18
,Subst,8,8,18
,Maj-2,8,8,18
,Dist-2,7,8,17
6,InvProp,7,8,17
,TrivRep,7,8,17
,Maj-1,7,8,17
,Dist-1,7,8,17
,Assoc,7,8,17
,CompAss,7,8,17
,Relev,7,8,17
,Subst,7,8,17
,Maj-2,7,8,17
,Dist-2,7,8,17
7,InvProp,7,8,17
,TrivRep,7,8,17
,Maj-1,7,8,17
,Dist-1,7,8,17
,Assoc,7,8,17
,CompAss,7,8,17
,Relev,7,8,17
,Subst,10,12,24
,Maj-2,10,12,24
,Dist-2,10,12,24
8,InvProp,10,12,24
,TrivRep,11,12,25
,Maj-1,11,12,25
,Dist-1,11,12,25
,Assoc,11,12,25
,CompAss,11,12,25
,Relev,11,12,25
,Subst,11,12,25
,Maj-2,11,12,25
,Dist-2,10,12,24
9,InvProp,10,12,24
,TrivRep,10,12,24
,Maj-1,10,12,24
,Dist-1,10,12,24
,Assoc,10,12,24
,CompAss,10,12,24
,Relev,10,12,24
,Subst,10,12,24
,Maj-2,10,12,24
,Dist-2,10,12,24
10,InvProp,10,12,24
,TrivRep,10,12,24
,Maj-1,10,12,24
,Dist-1,10,12,24
,Assoc,10,12,24
,CompAss,10,12,24
,Relev,10,12,24
,Subst,10,12,24
,Maj-2,10,12,24
,Dist-2,10,12,24
11,InvProp,10,12,24
,TrivRep,10,12,24
,Maj-1,10,12,24
,Dist-1,10,12,24
,Assoc,10,12,24
,CompAss,10,12,24
,Relev,10,12,24
,Subst,10,12,24
,Maj-2,10,12,24
,Dist-2,10,12,24
12,InvProp,10,12,24
,TrivRep,10,12,24
,Maj-1,10,12,24
,Dist-1,10,12,24
,Assoc,10,12,24
,CompAss,10,12,24
,Relev,10,12,24
,Subst,10,12,24
,Maj-2,10,12,24
,Dist-2,10,12,24
13,InvProp,10,12,24
,TrivRep,10,12,24
,Maj-1,10,12,24
,Dist-1,10,12,24
,Assoc,10,12,24
,CompAss,10,12,24
,Relev,10,12,24
,Subst,13,17,32
,Maj-2,13,17,32
,Dist-2,13,17,32
14,InvProp,13,17,32
,TrivRep,13,17,32
,Maj-1,13,17,32
,Dist-1,13,17,32
,Assoc,13,17,32
,CompAss,13,17,32
,Relev,13,17,32
,Subst,13,17,32
,Maj-2,13,17,32
,Dist-2,13,17,32
15,InvProp,13,17,32
,TrivRep,13,17,32
,Maj-1,13,17,32
,Dist-1,13,17,32
,Assoc,13,17,32
,CompAss,13,17,32
,Relev,13,17,32
,Subst,13,17,32
,Maj-2,13,17,32
,Dist-2,13,17,32
16,InvProp,13,17,32
,TrivRep,13,17,32
,Maj-1,13,17,32
,Dist-1,13,17,32
,Assoc,13,17,32
,CompAss,13,17,32
,Relev,13,17,32
,Subst,13,17,32
,Maj-2,13,17,32
,Dist-2,13,17,32
17,InvProp,13,17,32
,TrivRep,13,17,32
,Maj-1,13,17,32
,Dist-1,13,17,32
,Assoc,13,17,32
,CompAss,13,17,32
,Relev,13,17,32
,Subst,14,21,37
,Maj-2,14,19,35
,Dist-2,13,19,34
18,InvProp,13,19,34
,TrivRep,13,19,34
,Maj-1,13,19,34
,Dist-1,13,19,34
,Assoc,13,19,34
,CompAss,13,19,34
,Relev,14,19,35
,Subst,14,19,35
,Maj-2,14,19,35
,Dist-2,13,19,34
19,InvProp,13,19,34
,TrivRep,13,19,34
,Maj-1,13,19,34
,Dist-1,13,19,34
,Assoc,13,19,34
,CompAss,13,19,34
,Relev,13,19,34
,Subst,13,19,34
,Maj-2,13,19,34
,Dist-2,13,19,34
20,InvProp,13,19,34
,TrivRep,13,19,34
,Maj-1,13,19,34
,Dist-1,13,19,34
,Assoc,13,19,34
,CompAss,13,19,34
,Relev,13,19,34
,Subst,13,19,34
,Maj-2,13,19,34
,Dist-2,13,19,34
