Iteration,Step,Inverter,Other,Total
0,None,10,8,20
1,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,6,8,16
,Subst,6,8,16
,Maj-2,6,8,16
,Dist-2,6,8,16
2,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,8,8,18
,Subst,8,8,18
,Maj-2,8,8,18
,Dist-2,6,8,16
3,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,6,8,16
,Subst,6,8,16
,Maj-2,6,8,16
,Dist-2,6,8,16
4,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,7,8,17
,Subst,7,8,17
,Maj-2,7,8,17
,Dist-2,6,8,16
5,InvProp,6,8,16
,TrivRep,6,8,16
,Maj-1,6,8,16
,Dist-1,6,8,16
,Assoc,6,8,16
,CompAss,6,8,16
,Relev,6,8,16
,Subst,8,13,23
,Maj-2,8,13,23
,Dist-2,8,13,23
6,InvProp,8,13,23
,TrivRep,8,13,23
,Maj-1,8,13,23
,Dist-1,8,13,23
,Assoc,8,13,23
,CompAss,8,13,23
,Relev,8,13,23
,Subst,8,13,23
,Maj-2,8,13,23
,Dist-2,8,13,23
7,InvProp,8,13,23
,TrivRep,8,13,23
,Maj-1,8,13,23
,Dist-1,8,13,23
,Assoc,8,13,23
,CompAss,8,13,23
,Relev,8,13,23
,Subst,8,13,23
,Maj-2,8,13,23
,Dist-2,8,13,23
8,InvProp,8,13,23
,TrivRep,8,13,23
,Maj-1,8,13,23
,Dist-1,8,13,23
,Assoc,8,13,23
,CompAss,8,13,23
,Relev,8,13,23
,Subst,8,13,23
,Maj-2,8,13,23
,Dist-2,8,13,23
9,InvProp,8,13,23
,TrivRep,8,13,23
,Maj-1,8,13,23
,Dist-1,8,13,23
,Assoc,8,13,23
,CompAss,8,13,23
,Relev,8,13,23
,Subst,23,47,72
,Maj-2,23,47,72
,Dist-2,23,47,72
10,InvProp,23,47,72
,TrivRep,24,47,73
,Maj-1,24,47,73
,Dist-1,24,47,73
,Assoc,24,47,73
,CompAss,24,47,73
,Relev,24,47,73
,Subst,24,47,73
,Maj-2,24,47,73
,Dist-2,23,47,72
11,InvProp,23,47,72
,TrivRep,23,47,72
,Maj-1,23,47,72
,Dist-1,23,47,72
,Assoc,23,47,72
,CompAss,23,47,72
,Relev,23,47,72
,Subst,23,47,72
,Maj-2,23,47,72
,Dist-2,23,47,72
12,InvProp,23,47,72
,TrivRep,23,47,72
,Maj-1,23,47,72
,Dist-1,23,47,72
,Assoc,23,47,72
,CompAss,23,47,72
,Relev,23,47,72
,Subst,23,47,72
,Maj-2,23,47,72
,Dist-2,23,47,72
13,InvProp,23,47,72
,TrivRep,23,47,72
,Maj-1,23,47,72
,Dist-1,23,47,72
,Assoc,23,47,72
,CompAss,23,47,72
,Relev,23,47,72
,Subst,26,55,83
,Maj-2,26,55,83
,Dist-2,26,55,83
14,InvProp,26,55,83
,TrivRep,26,55,83
,Maj-1,26,55,83
,Dist-1,26,55,83
,Assoc,26,55,83
,CompAss,26,55,83
,Relev,26,55,83
,Subst,26,55,83
,Maj-2,26,55,83
,Dist-2,26,55,83
15,InvProp,26,55,83
,TrivRep,26,55,83
,Maj-1,26,55,83
,Dist-1,26,55,83
,Assoc,26,55,83
,CompAss,26,55,83
,Relev,26,55,83
,Subst,26,55,83
,Maj-2,26,55,83
,Dist-2,26,55,83
16,InvProp,26,55,83
,TrivRep,26,55,83
,Maj-1,26,55,83
,Dist-1,26,55,83
,Assoc,26,55,83
,CompAss,26,55,83
,Relev,26,55,83
,Subst,26,55,83
,Maj-2,26,55,83
,Dist-2,26,55,83
17,InvProp,26,55,83
,TrivRep,26,55,83
,Maj-1,26,55,83
,Dist-1,26,55,83
,Assoc,26,55,83
,CompAss,26,55,83
,Relev,26,55,83
,Subst,31,66,99
,Maj-2,31,66,99
,Dist-2,31,66,99
18,InvProp,31,66,99
,TrivRep,31,66,99
,Maj-1,31,66,99
,Dist-1,31,66,99
,Assoc,31,66,99
,CompAss,31,66,99
,Relev,31,66,99
,Subst,31,66,99
,Maj-2,31,66,99
,Dist-2,31,66,99
19,InvProp,31,66,99
,TrivRep,31,66,99
,Maj-1,31,66,99
,Dist-1,31,66,99
,Assoc,31,66,99
,CompAss,31,66,99
,Relev,31,66,99
,Subst,31,66,99
,Maj-2,31,66,99
,Dist-2,31,66,99
20,InvProp,31,66,99
,TrivRep,31,66,99
,Maj-1,31,66,99
,Dist-1,31,66,99
,Assoc,31,66,99
,CompAss,31,66,99
,Relev,31,66,99
,Subst,31,66,99
,Maj-2,31,66,99
,Dist-2,31,66,99
