Iteration,Step,Inverter,Other,Total
0,None,42,49,93
1,InvProp,14,49,65
,TrivRep,14,49,65
,Maj-1,14,49,65
,Dist-1,14,49,65
,Assoc,14,49,65
,CompAss,14,49,65
,Relev,14,49,65
,Subst,14,49,65
,Maj-2,14,49,65
,Dist-2,14,49,65
2,InvProp,14,49,65
,TrivRep,14,49,65
,Maj-1,14,49,65
,Dist-1,14,49,65
,Assoc,14,49,65
,CompAss,14,49,65
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,14,49,65
3,InvProp,14,49,65
,TrivRep,14,49,65
,Maj-1,14,49,65
,Dist-1,14,49,65
,Assoc,14,49,65
,CompAss,14,49,65
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
4,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
5,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
6,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
7,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,15,49,66
,Subst,19,56,77
,Maj-2,19,56,77
,Dist-2,19,56,77
8,InvProp,19,56,77
,TrivRep,19,56,77
,Maj-1,19,56,77
,Dist-1,19,56,77
,Assoc,19,56,77
,CompAss,19,56,77
,Relev,20,56,78
,Subst,20,56,78
,Maj-2,20,56,78
,Dist-2,19,56,77
9,InvProp,19,56,77
,TrivRep,19,56,77
,Maj-1,19,56,77
,Dist-1,19,56,77
,Assoc,19,56,77
,CompAss,19,56,77
,Relev,19,56,77
,Subst,19,56,77
,Maj-2,19,56,77
,Dist-2,19,56,77
10,InvProp,19,56,77
,TrivRep,19,56,77
,Maj-1,19,56,77
,Dist-1,19,56,77
,Assoc,19,56,77
,CompAss,19,56,77
,Relev,21,56,79
,Subst,21,56,79
,Maj-2,21,56,79
,Dist-2,20,56,78
11,InvProp,20,56,78
,TrivRep,20,56,78
,Maj-1,20,56,78
,Dist-1,20,56,78
,Assoc,20,56,78
,CompAss,20,56,78
,Relev,21,56,79
,Subst,21,56,79
,Maj-2,21,56,79
,Dist-2,20,56,78
12,InvProp,20,56,78
,TrivRep,20,56,78
,Maj-1,20,56,78
,Dist-1,20,56,78
,Assoc,20,56,78
,CompAss,20,56,78
,Relev,20,56,78
,Subst,20,56,78
,Maj-2,20,56,78
,Dist-2,20,56,78
13,InvProp,20,56,78
,TrivRep,20,56,78
,Maj-1,20,56,78
,Dist-1,20,56,78
,Assoc,20,56,78
,CompAss,20,56,78
,Relev,20,56,78
,Subst,20,56,78
,Maj-2,20,56,78
,Dist-2,20,56,78
14,InvProp,20,56,78
,TrivRep,20,56,78
,Maj-1,20,56,78
,Dist-1,20,56,78
,Assoc,20,56,78
,CompAss,20,56,78
,Relev,20,56,78
,Subst,29,66,97
,Maj-2,29,66,97
,Dist-2,29,66,97
15,InvProp,29,66,97
,TrivRep,29,66,97
,Maj-1,29,66,97
,Dist-1,29,66,97
,Assoc,29,66,97
,CompAss,29,66,97
,Relev,30,66,98
,Subst,30,66,98
,Maj-2,30,66,98
,Dist-2,29,66,97
16,InvProp,29,66,97
,TrivRep,29,66,97
,Maj-1,29,66,97
,Dist-1,29,66,97
,Assoc,29,66,97
,CompAss,29,66,97
,Relev,29,66,97
,Subst,29,66,97
,Maj-2,29,66,97
,Dist-2,29,66,97
17,InvProp,29,66,97
,TrivRep,29,66,97
,Maj-1,29,66,97
,Dist-1,29,66,97
,Assoc,29,66,97
,CompAss,29,66,97
,Relev,30,66,98
,Subst,30,66,98
,Maj-2,30,66,98
,Dist-2,29,66,97
18,InvProp,29,66,97
,TrivRep,29,66,97
,Maj-1,29,66,97
,Dist-1,29,66,97
,Assoc,29,66,97
,CompAss,29,66,97
,Relev,29,66,97
,Subst,61,106,169
,Maj-2,61,106,169
,Dist-2,61,106,169
19,InvProp,61,106,169
,TrivRep,62,106,170
,Maj-1,62,106,170
,Dist-1,62,106,170
,Assoc,62,106,170
,CompAss,62,106,170
,Relev,62,106,170
,Subst,62,106,170
,Maj-2,62,106,170
,Dist-2,61,106,169
20,InvProp,61,106,169
,TrivRep,61,106,169
,Maj-1,61,106,169
,Dist-1,61,106,169
,Assoc,61,106,169
,CompAss,61,106,169
,Relev,61,106,169
,Subst,61,106,169
,Maj-2,61,106,169
,Dist-2,61,106,169
