Iteration,Step,Inverter,Other,Total
0,None,42,49,93
1,InvProp,14,49,65
,TrivRep,14,49,65
,Maj-1,14,49,65
,Dist-1,14,49,65
,Assoc,14,49,65
,CompAss,14,49,65
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
2,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
3,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
4,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
5,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,16,49,67
,Subst,18,56,76
,Maj-2,18,54,74
,Dist-2,17,52,71
6,InvProp,17,52,71
,TrivRep,17,52,71
,Maj-1,17,52,71
,Dist-1,17,52,71
,Assoc,17,52,71
,CompAss,17,52,71
,Relev,18,52,72
,Subst,18,52,72
,Maj-2,18,52,72
,Dist-2,17,52,71
7,InvProp,17,52,71
,TrivRep,17,52,71
,Maj-1,17,52,71
,Dist-1,17,52,71
,Assoc,17,52,71
,CompAss,17,52,71
,Relev,17,52,71
,Subst,17,52,71
,Maj-2,17,52,71
,Dist-2,17,52,71
8,InvProp,17,52,71
,TrivRep,17,52,71
,Maj-1,17,52,71
,Dist-1,17,52,71
,Assoc,17,52,71
,CompAss,17,52,71
,Relev,17,52,71
,Subst,17,52,71
,Maj-2,17,52,71
,Dist-2,17,52,71
9,InvProp,17,52,71
,TrivRep,17,52,71
,Maj-1,17,52,71
,Dist-1,17,52,71
,Assoc,17,52,71
,CompAss,17,52,71
,Relev,18,52,72
,Subst,25,62,89
,Maj-2,25,62,89
,Dist-2,25,62,89
10,InvProp,25,62,89
,TrivRep,25,62,89
,Maj-1,25,62,89
,Dist-1,25,62,89
,Assoc,25,62,89
,CompAss,25,62,89
,Relev,26,62,90
,Subst,26,62,90
,Maj-2,26,62,90
,Dist-2,25,62,89
11,InvProp,25,62,89
,TrivRep,25,62,89
,Maj-1,25,62,89
,Dist-1,25,62,89
,Assoc,25,62,89
,CompAss,25,62,89
,Relev,25,62,89
,Subst,25,62,89
,Maj-2,25,62,89
,Dist-2,25,62,89
12,InvProp,25,62,89
,TrivRep,25,62,89
,Maj-1,25,62,89
,Dist-1,25,62,89
,Assoc,25,62,89
,CompAss,25,62,89
,Relev,25,62,89
,Subst,25,62,89
,Maj-2,25,62,89
,Dist-2,25,62,89
13,InvProp,25,62,89
,TrivRep,25,62,89
,Maj-1,25,62,89
,Dist-1,25,62,89
,Assoc,25,62,89
,CompAss,25,62,89
,Relev,25,62,89
,Subst,31,70,103
,Maj-2,31,70,103
,Dist-2,31,70,103
14,InvProp,31,70,103
,TrivRep,31,70,103
,Maj-1,31,70,103
,Dist-1,31,70,103
,Assoc,31,70,103
,CompAss,31,70,103
,Relev,31,70,103
,Subst,31,70,103
,Maj-2,31,70,103
,Dist-2,31,70,103
15,InvProp,31,70,103
,TrivRep,31,70,103
,Maj-1,31,70,103
,Dist-1,31,70,103
,Assoc,31,70,103
,CompAss,31,70,103
,Relev,32,70,104
,Subst,32,70,104
,Maj-2,32,70,104
,Dist-2,32,70,104
16,InvProp,32,70,104
,TrivRep,32,70,104
,Maj-1,32,70,104
,Dist-1,32,70,104
,Assoc,32,70,104
,CompAss,32,70,104
,Relev,32,70,104
,Subst,32,70,104
,Maj-2,32,70,104
,Dist-2,32,70,104
17,InvProp,32,70,104
,TrivRep,32,70,104
,Maj-1,32,70,104
,Dist-1,32,70,104
,Assoc,32,70,104
,CompAss,32,70,104
,Relev,33,70,105
,Subst,33,70,105
,Maj-2,33,70,105
,Dist-2,32,70,104
18,InvProp,32,70,104
,TrivRep,32,70,104
,Maj-1,32,70,104
,Dist-1,32,70,104
,Assoc,32,70,104
,CompAss,32,70,104
,Relev,33,70,105
,Subst,33,70,105
,Maj-2,33,70,105
,Dist-2,33,70,105
19,InvProp,33,70,105
,TrivRep,33,70,105
,Maj-1,33,70,105
,Dist-1,33,70,105
,Assoc,33,70,105
,CompAss,33,70,105
,Relev,33,70,105
,Subst,33,70,105
,Maj-2,33,70,105
,Dist-2,33,70,105
20,InvProp,33,70,105
,TrivRep,33,70,105
,Maj-1,33,70,105
,Dist-1,33,70,105
,Assoc,33,70,105
,CompAss,33,70,105
,Relev,33,70,105
,Subst,33,70,105
,Maj-2,33,70,105
,Dist-2,33,70,105
