Iteration,Step,Inverter,Other,Total
0,None,42,49,93
1,InvProp,14,49,65
,TrivRep,14,49,65
,Maj-1,14,49,65
,Dist-1,14,49,65
,Assoc,14,49,65
,CompAss,14,49,65
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
2,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
3,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,16,49,67
,Subst,16,49,67
,Maj-2,16,49,67
,Dist-2,16,49,67
4,InvProp,16,49,67
,TrivRep,16,49,67
,Maj-1,16,49,67
,Dist-1,16,49,67
,Assoc,16,49,67
,CompAss,16,49,67
,Relev,16,49,67
,Subst,16,49,67
,Maj-2,16,49,67
,Dist-2,16,49,67
5,InvProp,16,49,67
,TrivRep,16,49,67
,Maj-1,16,49,67
,Dist-1,16,49,67
,Assoc,16,49,67
,CompAss,16,49,67
,Relev,16,49,67
,Subst,16,49,67
,Maj-2,16,49,67
,Dist-2,16,49,67
6,InvProp,16,49,67
,TrivRep,16,49,67
,Maj-1,16,49,67
,Dist-1,16,49,67
,Assoc,16,49,67
,CompAss,16,49,67
,Relev,17,49,68
,Subst,17,49,68
,Maj-2,17,49,68
,Dist-2,17,49,68
7,InvProp,17,49,68
,TrivRep,17,49,68
,Maj-1,17,49,68
,Dist-1,17,49,68
,Assoc,17,49,68
,CompAss,17,49,68
,Relev,18,49,69
,Subst,18,49,69
,Maj-2,18,49,69
,Dist-2,18,49,69
8,InvProp,18,49,69
,TrivRep,18,49,69
,Maj-1,18,49,69
,Dist-1,18,49,69
,Assoc,18,49,69
,CompAss,18,49,69
,Relev,19,49,70
,Subst,19,49,70
,Maj-2,19,49,70
,Dist-2,18,49,69
9,InvProp,18,49,69
,TrivRep,18,49,69
,Maj-1,18,49,69
,Dist-1,18,49,69
,Assoc,18,49,69
,CompAss,18,49,69
,Relev,19,49,70
,Subst,19,49,70
,Maj-2,19,49,70
,Dist-2,19,49,70
10,InvProp,19,49,70
,TrivRep,19,49,70
,Maj-1,19,49,70
,Dist-1,19,49,70
,Assoc,19,49,70
,CompAss,19,49,70
,Relev,20,49,71
,Subst,20,49,71
,Maj-2,20,49,71
,Dist-2,19,49,70
11,InvProp,19,49,70
,TrivRep,19,49,70
,Maj-1,19,49,70
,Dist-1,19,49,70
,Assoc,19,49,70
,CompAss,19,49,70
,Relev,19,49,70
,Subst,19,49,70
,Maj-2,19,49,70
,Dist-2,19,49,70
12,InvProp,19,49,70
,TrivRep,19,49,70
,Maj-1,19,49,70
,Dist-1,19,49,70
,Assoc,19,49,70
,CompAss,19,49,70
,Relev,19,49,70
,Subst,19,49,70
,Maj-2,19,49,70
,Dist-2,19,49,70
13,InvProp,19,49,70
,TrivRep,19,49,70
,Maj-1,19,49,70
,Dist-1,19,49,70
,Assoc,19,49,70
,CompAss,19,49,70
,Relev,19,49,70
,Subst,19,53,74
,Maj-2,19,51,72
,Dist-2,19,51,72
14,InvProp,19,51,72
,TrivRep,19,51,72
,Maj-1,19,51,72
,Dist-1,19,51,72
,Assoc,19,51,72
,CompAss,19,51,72
,Relev,19,51,72
,Subst,19,51,72
,Maj-2,19,51,72
,Dist-2,19,51,72
15,InvProp,19,51,72
,TrivRep,19,51,72
,Maj-1,19,51,72
,Dist-1,19,51,72
,Assoc,19,51,72
,CompAss,19,51,72
,Relev,19,51,72
,Subst,19,51,72
,Maj-2,19,51,72
,Dist-2,19,51,72
16,InvProp,19,51,72
,TrivRep,19,51,72
,Maj-1,19,51,72
,Dist-1,19,51,72
,Assoc,19,51,72
,CompAss,19,51,72
,Relev,19,51,72
,Subst,19,51,72
,Maj-2,19,51,72
,Dist-2,19,51,72
17,InvProp,19,51,72
,TrivRep,19,51,72
,Maj-1,19,51,72
,Dist-1,19,51,72
,Assoc,19,51,72
,CompAss,19,51,72
,Relev,20,51,73
,Subst,28,63,93
,Maj-2,28,63,93
,Dist-2,28,63,93
18,InvProp,28,63,93
,TrivRep,28,63,93
,Maj-1,28,63,93
,Dist-1,28,63,93
,Assoc,28,63,93
,CompAss,28,63,93
,Relev,29,63,94
,Subst,29,63,94
,Maj-2,29,63,94
,Dist-2,29,63,94
19,InvProp,29,63,94
,TrivRep,29,63,94
,Maj-1,29,63,94
,Dist-1,29,63,94
,Assoc,29,63,94
,CompAss,29,63,94
,Relev,29,63,94
,Subst,29,63,94
,Maj-2,29,63,94
,Dist-2,29,63,94
20,InvProp,29,63,94
,TrivRep,29,63,94
,Maj-1,29,63,94
,Dist-1,29,63,94
,Assoc,29,63,94
,CompAss,29,63,94
,Relev,29,63,94
,Subst,29,63,94
,Maj-2,29,63,94
,Dist-2,29,63,94
