Iteration,Step,Inverter,Other,Total
0,None,42,49,93
1,InvProp,14,49,65
,TrivRep,14,49,65
,Maj-1,14,49,65
,Dist-1,14,49,65
,Assoc,14,49,65
,CompAss,14,49,65
,Relev,14,49,65
,Subst,14,49,65
,Maj-2,14,49,65
,Dist-2,14,49,65
2,InvProp,14,49,65
,TrivRep,14,49,65
,Maj-1,14,49,65
,Dist-1,14,49,65
,Assoc,14,49,65
,CompAss,14,49,65
,Relev,15,49,66
,Subst,15,49,66
,Maj-2,15,49,66
,Dist-2,15,49,66
3,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,16,49,67
,Subst,16,49,67
,Maj-2,16,49,67
,Dist-2,15,49,66
4,InvProp,15,49,66
,TrivRep,15,49,66
,Maj-1,15,49,66
,Dist-1,15,49,66
,Assoc,15,49,66
,CompAss,15,49,66
,Relev,16,49,67
,Subst,16,49,67
,Maj-2,16,49,67
,Dist-2,16,49,67
5,InvProp,16,49,67
,TrivRep,16,49,67
,Maj-1,16,49,67
,Dist-1,16,49,67
,Assoc,16,49,67
,CompAss,16,49,67
,Relev,16,49,67
,Subst,16,49,67
,Maj-2,16,49,67
,Dist-2,16,49,67
6,InvProp,16,49,67
,TrivRep,16,49,67
,Maj-1,16,49,67
,Dist-1,16,49,67
,Assoc,16,49,67
,CompAss,16,49,67
,Relev,16,49,67
,Subst,16,49,67
,Maj-2,16,49,67
,Dist-2,16,49,67
7,InvProp,16,49,67
,TrivRep,16,49,67
,Maj-1,16,49,67
,Dist-1,16,49,67
,Assoc,16,49,67
,CompAss,16,49,67
,Relev,17,49,68
,Subst,17,49,68
,Maj-2,17,49,68
,Dist-2,17,49,68
8,InvProp,17,49,68
,TrivRep,17,49,68
,Maj-1,17,49,68
,Dist-1,17,49,68
,Assoc,17,49,68
,CompAss,17,49,68
,Relev,18,49,69
,Subst,18,49,69
,Maj-2,18,49,69
,Dist-2,17,49,68
9,InvProp,17,49,68
,TrivRep,17,49,68
,Maj-1,17,49,68
,Dist-1,17,49,68
,Assoc,17,49,68
,CompAss,17,49,68
,Relev,17,49,68
,Subst,17,49,68
,Maj-2,17,49,68
,Dist-2,17,49,68
10,InvProp,17,49,68
,TrivRep,17,49,68
,Maj-1,17,49,68
,Dist-1,17,49,68
,Assoc,17,49,68
,CompAss,17,49,68
,Relev,17,49,68
,Subst,17,49,68
,Maj-2,17,49,68
,Dist-2,17,49,68
11,InvProp,17,49,68
,TrivRep,17,49,68
,Maj-1,17,49,68
,Dist-1,17,49,68
,Assoc,17,49,68
,CompAss,17,49,68
,Relev,18,49,69
,Subst,22,53,77
,Maj-2,22,53,77
,Dist-2,22,53,77
12,InvProp,22,53,77
,TrivRep,23,53,78
,Maj-1,23,53,78
,Dist-1,23,53,78
,Assoc,23,53,78
,CompAss,23,53,78
,Relev,24,53,79
,Subst,24,53,79
,Maj-2,24,53,79
,Dist-2,22,53,77
13,InvProp,22,53,77
,TrivRep,22,53,77
,Maj-1,22,53,77
,Dist-1,22,53,77
,Assoc,22,53,77
,CompAss,22,53,77
,Relev,22,53,77
,Subst,22,53,77
,Maj-2,22,53,77
,Dist-2,22,53,77
14,InvProp,22,53,77
,TrivRep,22,53,77
,Maj-1,22,53,77
,Dist-1,22,53,77
,Assoc,22,53,77
,CompAss,22,53,77
,Relev,22,53,77
,Subst,22,53,77
,Maj-2,22,53,77
,Dist-2,22,53,77
15,InvProp,22,53,77
,TrivRep,22,53,77
,Maj-1,22,53,77
,Dist-1,22,53,77
,Assoc,22,53,77
,CompAss,22,53,77
,Relev,23,53,78
,Subst,27,61,90
,Maj-2,27,61,90
,Dist-2,27,61,90
16,InvProp,27,61,90
,TrivRep,27,61,90
,Maj-1,27,61,90
,Dist-1,27,61,90
,Assoc,27,61,90
,CompAss,27,61,90
,Relev,28,61,91
,Subst,28,61,91
,Maj-2,28,61,91
,Dist-2,28,61,91
17,InvProp,28,61,91
,TrivRep,28,61,91
,Maj-1,28,61,91
,Dist-1,28,61,91
,Assoc,28,61,91
,CompAss,28,61,91
,Relev,28,61,91
,Subst,28,61,91
,Maj-2,28,61,91
,Dist-2,28,61,91
18,InvProp,28,61,91
,TrivRep,28,61,91
,Maj-1,28,61,91
,Dist-1,28,61,91
,Assoc,28,61,91
,CompAss,28,61,91
,Relev,28,61,91
,Subst,28,61,91
,Maj-2,28,61,91
,Dist-2,28,61,91
19,InvProp,28,61,91
,TrivRep,28,61,91
,Maj-1,28,61,91
,Dist-1,28,61,91
,Assoc,28,61,91
,CompAss,28,61,91
,Relev,28,61,91
,Subst,28,61,91
,Maj-2,28,61,91
,Dist-2,28,61,91
20,InvProp,28,61,91
,TrivRep,28,61,91
,Maj-1,28,61,91
,Dist-1,28,61,91
,Assoc,28,61,91
,CompAss,28,61,91
,Relev,28,61,91
,Subst,32,65,99
,Maj-2,32,65,99
,Dist-2,32,65,99
