Iteration,Step,Inverter,Other,Total
0,None,16,14,32
1,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
2,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,10,14,26
3,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,10,14,26
4,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,10,14,26
5,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,10,14,26
6,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,10,14,26
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,12,18,32
7,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,13,18,33
,Subst,13,18,33
,Maj-2,13,18,33
,Dist-2,12,18,32
8,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,12,18,32
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,12,18,32
9,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,12,18,32
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,12,18,32
10,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,13,18,33
,Subst,13,22,37
,Maj-2,13,20,35
,Dist-2,12,20,34
11,InvProp,12,20,34
,TrivRep,13,20,35
,Maj-1,13,20,35
,Dist-1,13,20,35
,Assoc,13,20,35
,CompAss,13,20,35
,Relev,13,20,35
,Subst,13,20,35
,Maj-2,13,20,35
,Dist-2,12,20,34
12,InvProp,12,20,34
,TrivRep,12,20,34
,Maj-1,12,20,34
,Dist-1,12,20,34
,Assoc,12,20,34
,CompAss,12,20,34
,Relev,12,20,34
,Subst,12,20,34
,Maj-2,12,20,34
,Dist-2,12,20,34
13,InvProp,12,20,34
,TrivRep,12,20,34
,Maj-1,12,20,34
,Dist-1,12,20,34
,Assoc,12,20,34
,CompAss,12,20,34
,Relev,12,20,34
,Subst,12,20,34
,Maj-2,12,20,34
,Dist-2,12,20,34
14,InvProp,12,20,34
,TrivRep,12,20,34
,Maj-1,12,20,34
,Dist-1,12,20,34
,Assoc,12,20,34
,CompAss,12,20,34
,Relev,12,20,34
,Subst,13,25,40
,Maj-2,13,23,38
,Dist-2,12,22,36
15,InvProp,12,22,36
,TrivRep,12,22,36
,Maj-1,12,22,36
,Dist-1,12,22,36
,Assoc,12,22,36
,CompAss,12,22,36
,Relev,12,22,36
,Subst,12,22,36
,Maj-2,12,22,36
,Dist-2,12,22,36
16,InvProp,12,22,36
,TrivRep,12,22,36
,Maj-1,12,22,36
,Dist-1,12,22,36
,Assoc,12,22,36
,CompAss,12,22,36
,Relev,12,22,36
,Subst,12,22,36
,Maj-2,12,22,36
,Dist-2,12,22,36
17,InvProp,12,22,36
,TrivRep,12,22,36
,Maj-1,12,22,36
,Dist-1,12,22,36
,Assoc,12,22,36
,CompAss,12,22,36
,Relev,12,22,36
,Subst,12,22,36
,Maj-2,12,22,36
,Dist-2,12,22,36
18,InvProp,12,22,36
,TrivRep,12,22,36
,Maj-1,12,22,36
,Dist-1,12,22,36
,Assoc,12,22,36
,CompAss,12,22,36
,Relev,12,22,36
,Subst,12,22,36
,Maj-2,12,22,36
,Dist-2,12,22,36
19,InvProp,12,22,36
,TrivRep,12,22,36
,Maj-1,12,22,36
,Dist-1,12,22,36
,Assoc,12,22,36
,CompAss,12,22,36
,Relev,12,22,36
,Subst,12,22,36
,Maj-2,12,22,36
,Dist-2,12,22,36
20,InvProp,12,22,36
,TrivRep,12,22,36
,Maj-1,12,22,36
,Dist-1,12,22,36
,Assoc,12,22,36
,CompAss,12,22,36
,Relev,12,22,36
,Subst,15,26,43
,Maj-2,15,26,43
,Dist-2,15,26,43
