Iteration,Step,Inverter,Other,Total
0,None,16,14,32
1,InvProp,8,14,24
,TrivRep,8,14,24
,Maj-1,8,14,24
,Dist-1,8,14,24
,Assoc,8,14,24
,CompAss,8,14,24
,Relev,8,14,24
,Subst,8,14,24
,Maj-2,8,14,24
,Dist-2,8,14,24
2,InvProp,8,14,24
,TrivRep,8,14,24
,Maj-1,8,14,24
,Dist-1,8,14,24
,Assoc,8,14,24
,CompAss,8,14,24
,Relev,8,14,24
,Subst,8,14,24
,Maj-2,8,14,24
,Dist-2,8,14,24
3,InvProp,8,14,24
,TrivRep,8,14,24
,Maj-1,8,14,24
,Dist-1,8,14,24
,Assoc,8,14,24
,CompAss,8,14,24
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,8,14,24
4,InvProp,8,14,24
,TrivRep,8,14,24
,Maj-1,8,14,24
,Dist-1,8,14,24
,Assoc,8,14,24
,CompAss,8,14,24
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
5,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
6,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
7,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
8,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
9,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,15,22,39
,Maj-2,15,22,39
,Dist-2,15,22,39
10,InvProp,15,22,39
,TrivRep,15,22,39
,Maj-1,15,22,39
,Dist-1,15,22,39
,Assoc,15,22,39
,CompAss,15,22,39
,Relev,15,22,39
,Subst,15,22,39
,Maj-2,15,22,39
,Dist-2,15,22,39
11,InvProp,15,22,39
,TrivRep,15,22,39
,Maj-1,15,22,39
,Dist-1,15,22,39
,Assoc,15,22,39
,CompAss,15,22,39
,Relev,15,22,39
,Subst,15,22,39
,Maj-2,15,22,39
,Dist-2,15,22,39
12,InvProp,15,22,39
,TrivRep,15,22,39
,Maj-1,15,22,39
,Dist-1,15,22,39
,Assoc,15,22,39
,CompAss,15,22,39
,Relev,15,22,39
,Subst,15,22,39
,Maj-2,15,22,39
,Dist-2,15,22,39
13,InvProp,15,22,39
,TrivRep,15,22,39
,Maj-1,15,22,39
,Dist-1,15,22,39
,Assoc,15,22,39
,CompAss,15,22,39
,Relev,16,22,40
,Subst,16,22,40
,Maj-2,16,22,40
,Dist-2,15,22,39
14,InvProp,15,22,39
,TrivRep,15,22,39
,Maj-1,15,22,39
,Dist-1,15,22,39
,Assoc,15,22,39
,CompAss,15,22,39
,Relev,15,22,39
,Subst,15,22,39
,Maj-2,15,22,39
,Dist-2,15,22,39
15,InvProp,15,22,39
,TrivRep,15,22,39
,Maj-1,15,22,39
,Dist-1,15,22,39
,Assoc,15,22,39
,CompAss,15,22,39
,Relev,16,22,40
,Subst,16,22,40
,Maj-2,16,22,40
,Dist-2,15,22,39
16,InvProp,15,22,39
,TrivRep,15,22,39
,Maj-1,15,22,39
,Dist-1,15,22,39
,Assoc,15,22,39
,CompAss,15,22,39
,Relev,15,22,39
,Subst,17,26,45
,Maj-2,17,26,45
,Dist-2,17,26,45
17,InvProp,17,26,45
,TrivRep,17,26,45
,Maj-1,17,26,45
,Dist-1,17,26,45
,Assoc,17,26,45
,CompAss,17,26,45
,Relev,17,26,45
,Subst,17,26,45
,Maj-2,17,26,45
,Dist-2,17,26,45
18,InvProp,17,26,45
,TrivRep,17,26,45
,Maj-1,17,26,45
,Dist-1,17,26,45
,Assoc,17,26,45
,CompAss,17,26,45
,Relev,17,26,45
,Subst,17,26,45
,Maj-2,17,26,45
,Dist-2,17,26,45
19,InvProp,17,26,45
,TrivRep,17,26,45
,Maj-1,17,26,45
,Dist-1,17,26,45
,Assoc,17,26,45
,CompAss,17,26,45
,Relev,17,26,45
,Subst,17,26,45
,Maj-2,17,26,45
,Dist-2,17,26,45
20,InvProp,17,26,45
,TrivRep,17,26,45
,Maj-1,17,26,45
,Dist-1,17,26,45
,Assoc,17,26,45
,CompAss,17,26,45
,Relev,18,26,46
,Subst,19,31,52
,Maj-2,19,29,50
,Dist-2,18,28,48
