Iteration,Step,Inverter,Other,Total
0,None,16,14,32
1,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
2,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,10,14,26
3,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,11,14,27
,Subst,11,14,27
,Maj-2,11,14,27
,Dist-2,11,14,27
4,InvProp,11,14,27
,TrivRep,11,14,27
,Maj-1,11,14,27
,Dist-1,11,14,27
,Assoc,11,14,27
,CompAss,11,14,27
,Relev,11,14,27
,Subst,11,14,27
,Maj-2,11,14,27
,Dist-2,10,14,26
5,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,10,14,26
6,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,10,14,26
7,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,11,14,27
,Subst,11,14,27
,Maj-2,11,14,27
,Dist-2,10,14,26
8,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,10,14,26
,Subst,13,18,33
,Maj-2,13,18,33
,Dist-2,13,18,33
9,InvProp,13,18,33
,TrivRep,14,18,34
,Maj-1,14,18,34
,Dist-1,14,18,34
,Assoc,14,18,34
,CompAss,14,18,34
,Relev,14,18,34
,Subst,14,18,34
,Maj-2,14,18,34
,Dist-2,13,18,33
10,InvProp,13,18,33
,TrivRep,13,18,33
,Maj-1,13,18,33
,Dist-1,13,18,33
,Assoc,13,18,33
,CompAss,13,18,33
,Relev,14,18,34
,Subst,14,18,34
,Maj-2,14,18,34
,Dist-2,13,18,33
11,InvProp,13,18,33
,TrivRep,13,18,33
,Maj-1,13,18,33
,Dist-1,13,18,33
,Assoc,13,18,33
,CompAss,13,18,33
,Relev,13,18,33
,Subst,13,18,33
,Maj-2,13,18,33
,Dist-2,13,18,33
12,InvProp,13,18,33
,TrivRep,13,18,33
,Maj-1,13,18,33
,Dist-1,13,18,33
,Assoc,13,18,33
,CompAss,13,18,33
,Relev,13,18,33
,Subst,14,22,38
,Maj-2,14,20,36
,Dist-2,13,20,35
13,InvProp,13,20,35
,TrivRep,13,20,35
,Maj-1,13,20,35
,Dist-1,13,20,35
,Assoc,13,20,35
,CompAss,13,20,35
,Relev,13,20,35
,Subst,13,20,35
,Maj-2,13,20,35
,Dist-2,13,20,35
14,InvProp,13,20,35
,TrivRep,13,20,35
,Maj-1,13,20,35
,Dist-1,13,20,35
,Assoc,13,20,35
,CompAss,13,20,35
,Relev,13,20,35
,Subst,13,20,35
,Maj-2,13,20,35
,Dist-2,13,20,35
15,InvProp,13,20,35
,TrivRep,13,20,35
,Maj-1,13,20,35
,Dist-1,13,20,35
,Assoc,13,20,35
,CompAss,13,20,35
,Relev,13,20,35
,Subst,13,20,35
,Maj-2,13,20,35
,Dist-2,13,20,35
16,InvProp,13,20,35
,TrivRep,13,20,35
,Maj-1,13,20,35
,Dist-1,13,20,35
,Assoc,13,20,35
,CompAss,13,20,35
,Relev,14,20,36
,Subst,16,26,44
,Maj-2,16,26,44
,Dist-2,16,26,44
17,InvProp,16,26,44
,TrivRep,16,26,44
,Maj-1,16,26,44
,Dist-1,16,26,44
,Assoc,16,26,44
,CompAss,16,26,44
,Relev,16,26,44
,Subst,16,26,44
,Maj-2,16,26,44
,Dist-2,15,26,43
18,InvProp,15,26,43
,TrivRep,15,26,43
,Maj-1,15,26,43
,Dist-1,15,26,43
,Assoc,15,26,43
,CompAss,15,26,43
,Relev,15,26,43
,Subst,15,26,43
,Maj-2,15,26,43
,Dist-2,15,26,43
19,InvProp,15,26,43
,TrivRep,15,26,43
,Maj-1,15,26,43
,Dist-1,15,26,43
,Assoc,15,26,43
,CompAss,15,26,43
,Relev,16,26,44
,Subst,16,26,44
,Maj-2,16,26,44
,Dist-2,15,26,43
20,InvProp,15,26,43
,TrivRep,15,26,43
,Maj-1,15,26,43
,Dist-1,15,26,43
,Assoc,15,26,43
,CompAss,15,26,43
,Relev,15,26,43
,Subst,15,26,43
,Maj-2,15,26,43
,Dist-2,15,26,43
