Iteration,Step,Inverter,Other,Total
0,None,16,14,32
1,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
2,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
3,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,9,14,25
4,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
5,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,10,14,26
,Subst,11,18,31
,Maj-2,11,18,31
,Dist-2,11,18,31
6,InvProp,11,18,31
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,12,18,32
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,11,18,31
7,InvProp,11,18,31
,TrivRep,11,18,31
,Maj-1,11,18,31
,Dist-1,11,18,31
,Assoc,11,18,31
,CompAss,11,18,31
,Relev,11,18,31
,Subst,11,18,31
,Maj-2,11,18,31
,Dist-2,11,18,31
8,InvProp,11,18,31
,TrivRep,11,18,31
,Maj-1,11,18,31
,Dist-1,11,18,31
,Assoc,11,18,31
,CompAss,11,18,31
,Relev,11,18,31
,Subst,11,18,31
,Maj-2,11,18,31
,Dist-2,11,18,31
9,InvProp,11,18,31
,TrivRep,11,18,31
,Maj-1,11,18,31
,Dist-1,11,18,31
,Assoc,11,18,31
,CompAss,11,18,31
,Relev,11,18,31
,Subst,11,22,35
,Maj-2,11,20,33
,Dist-2,11,20,33
10,InvProp,11,20,33
,TrivRep,11,20,33
,Maj-1,11,20,33
,Dist-1,11,20,33
,Assoc,11,20,33
,CompAss,11,20,33
,Relev,12,20,34
,Subst,12,20,34
,Maj-2,12,20,34
,Dist-2,12,20,34
11,InvProp,12,20,34
,TrivRep,12,20,34
,Maj-1,12,20,34
,Dist-1,12,20,34
,Assoc,12,20,34
,CompAss,12,20,34
,Relev,12,20,34
,Subst,12,20,34
,Maj-2,12,20,34
,Dist-2,12,20,34
12,InvProp,12,20,34
,TrivRep,12,20,34
,Maj-1,12,20,34
,Dist-1,12,20,34
,Assoc,12,20,34
,CompAss,12,20,34
,Relev,12,20,34
,Subst,12,20,34
,Maj-2,12,20,34
,Dist-2,12,20,34
13,InvProp,12,20,34
,TrivRep,12,20,34
,Maj-1,12,20,34
,Dist-1,12,20,34
,Assoc,12,20,34
,CompAss,12,20,34
,Relev,12,20,34
,Subst,12,20,34
,Maj-2,12,20,34
,Dist-2,12,20,34
14,InvProp,12,20,34
,TrivRep,12,20,34
,Maj-1,12,20,34
,Dist-1,12,20,34
,Assoc,12,20,34
,CompAss,12,20,34
,Relev,12,20,34
,Subst,15,26,43
,Maj-2,15,26,43
,Dist-2,15,26,43
15,InvProp,15,26,43
,TrivRep,15,26,43
,Maj-1,15,26,43
,Dist-1,15,26,43
,Assoc,15,26,43
,CompAss,15,26,43
,Relev,15,26,43
,Subst,15,26,43
,Maj-2,15,26,43
,Dist-2,15,26,43
16,InvProp,15,26,43
,TrivRep,15,26,43
,Maj-1,15,26,43
,Dist-1,15,26,43
,Assoc,15,26,43
,CompAss,15,26,43
,Relev,15,26,43
,Subst,15,26,43
,Maj-2,15,26,43
,Dist-2,15,26,43
17,InvProp,15,26,43
,TrivRep,15,26,43
,Maj-1,15,26,43
,Dist-1,15,26,43
,Assoc,15,26,43
,CompAss,15,26,43
,Relev,15,26,43
,Subst,15,26,43
,Maj-2,15,26,43
,Dist-2,15,26,43
18,InvProp,15,26,43
,TrivRep,15,26,43
,Maj-1,15,26,43
,Dist-1,15,26,43
,Assoc,15,26,43
,CompAss,15,26,43
,Relev,15,26,43
,Subst,15,30,47
,Maj-2,15,28,45
,Dist-2,15,28,45
19,InvProp,15,28,45
,TrivRep,15,28,45
,Maj-1,15,28,45
,Dist-1,15,28,45
,Assoc,15,28,45
,CompAss,15,28,45
,Relev,15,28,45
,Subst,15,28,45
,Maj-2,15,28,45
,Dist-2,15,28,45
20,InvProp,15,28,45
,TrivRep,15,28,45
,Maj-1,15,28,45
,Dist-1,15,28,45
,Assoc,15,28,45
,CompAss,15,28,45
,Relev,15,28,45
,Subst,15,28,45
,Maj-2,15,28,45
,Dist-2,15,28,45
