Iteration,Step,Inverter,Other,Total
0,None,16,14,32
1,InvProp,8,14,24
,TrivRep,8,14,24
,Maj-1,8,14,24
,Dist-1,8,14,24
,Assoc,8,14,24
,CompAss,8,14,24
,Relev,9,14,25
,Subst,9,14,25
,Maj-2,9,14,25
,Dist-2,9,14,25
2,InvProp,9,14,25
,TrivRep,9,14,25
,Maj-1,9,14,25
,Dist-1,9,14,25
,Assoc,9,14,25
,CompAss,9,14,25
,Relev,11,14,27
,Subst,11,14,27
,Maj-2,11,14,27
,Dist-2,10,14,26
3,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,10,14,26
4,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,10,14,26
,Subst,10,14,26
,Maj-2,10,14,26
,Dist-2,10,14,26
5,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,11,14,27
,Subst,11,14,27
,Maj-2,11,14,27
,Dist-2,10,14,26
6,InvProp,10,14,26
,TrivRep,10,14,26
,Maj-1,10,14,26
,Dist-1,10,14,26
,Assoc,10,14,26
,CompAss,10,14,26
,Relev,11,14,27
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,12,18,32
7,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,12,18,32
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,12,18,32
8,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,12,18,32
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,12,18,32
9,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,12,18,32
,Subst,12,18,32
,Maj-2,12,18,32
,Dist-2,12,18,32
10,InvProp,12,18,32
,TrivRep,12,18,32
,Maj-1,12,18,32
,Dist-1,12,18,32
,Assoc,12,18,32
,CompAss,12,18,32
,Relev,12,18,32
,Subst,19,26,47
,Maj-2,19,26,47
,Dist-2,19,26,47
11,InvProp,19,26,47
,TrivRep,19,26,47
,Maj-1,19,26,47
,Dist-1,19,26,47
,Assoc,19,26,47
,CompAss,19,26,47
,Relev,19,26,47
,Subst,19,26,47
,Maj-2,19,26,47
,Dist-2,19,26,47
12,InvProp,19,26,47
,TrivRep,19,26,47
,Maj-1,19,26,47
,Dist-1,19,26,47
,Assoc,19,26,47
,CompAss,19,26,47
,Relev,19,26,47
,Subst,19,26,47
,Maj-2,19,26,47
,Dist-2,19,26,47
13,InvProp,19,26,47
,TrivRep,19,26,47
,Maj-1,19,26,47
,Dist-1,19,26,47
,Assoc,19,26,47
,CompAss,19,26,47
,Relev,19,26,47
,Subst,19,26,47
,Maj-2,19,26,47
,Dist-2,19,26,47
14,InvProp,19,26,47
,TrivRep,19,26,47
,Maj-1,19,26,47
,Dist-1,19,26,47
,Assoc,19,26,47
,CompAss,19,26,47
,Relev,19,26,47
,Subst,26,34,62
,Maj-2,26,34,62
,Dist-2,26,34,62
15,InvProp,26,34,62
,TrivRep,26,34,62
,Maj-1,26,34,62
,Dist-1,26,34,62
,Assoc,26,34,62
,CompAss,26,34,62
,Relev,27,34,63
,Subst,27,34,63
,Maj-2,27,34,63
,Dist-2,26,34,62
16,InvProp,26,34,62
,TrivRep,26,34,62
,Maj-1,26,34,62
,Dist-1,26,34,62
,Assoc,26,34,62
,CompAss,26,34,62
,Relev,26,34,62
,Subst,26,34,62
,Maj-2,26,34,62
,Dist-2,26,34,62
17,InvProp,26,34,62
,TrivRep,26,34,62
,Maj-1,26,34,62
,Dist-1,26,34,62
,Assoc,26,34,62
,CompAss,26,34,62
,Relev,26,34,62
,Subst,26,34,62
,Maj-2,26,34,62
,Dist-2,26,34,62
18,InvProp,26,34,62
,TrivRep,26,34,62
,Maj-1,26,34,62
,Dist-1,26,34,62
,Assoc,26,34,62
,CompAss,26,34,62
,Relev,27,34,63
,Subst,27,38,67
,Maj-2,27,36,65
,Dist-2,26,36,64
19,InvProp,26,36,64
,TrivRep,26,36,64
,Maj-1,26,36,64
,Dist-1,26,36,64
,Assoc,26,36,64
,CompAss,26,36,64
,Relev,26,36,64
,Subst,26,36,64
,Maj-2,26,36,64
,Dist-2,26,36,64
20,InvProp,26,36,64
,TrivRep,26,36,64
,Maj-1,26,36,64
,Dist-1,26,36,64
,Assoc,26,36,64
,CompAss,26,36,64
,Relev,26,36,64
,Subst,26,36,64
,Maj-2,26,36,64
,Dist-2,26,36,64
21,InvProp,26,36,64
,TrivRep,26,36,64
,Maj-1,26,36,64
,Dist-1,26,36,64
,Assoc,26,36,64
,CompAss,26,36,64
,Relev,26,36,64
,Subst,26,36,64
,Maj-2,26,36,64
,Dist-2,26,36,64
22,InvProp,26,36,64
,TrivRep,26,36,64
,Maj-1,26,36,64
,Dist-1,26,36,64
,Assoc,26,36,64
,CompAss,26,36,64
,Relev,26,36,64
,Subst,30,42,74
,Maj-2,30,42,74
,Dist-2,30,42,74
23,InvProp,30,42,74
,TrivRep,30,42,74
,Maj-1,30,42,74
,Dist-1,30,42,74
,Assoc,30,42,74
,CompAss,30,42,74
,Relev,30,42,74
,Subst,30,42,74
,Maj-2,30,42,74
,Dist-2,30,42,74
24,InvProp,30,42,74
,TrivRep,30,42,74
,Maj-1,30,42,74
,Dist-1,30,42,74
,Assoc,30,42,74
,CompAss,30,42,74
,Relev,30,42,74
,Subst,30,42,74
,Maj-2,30,42,74
,Dist-2,30,42,74
25,InvProp,30,42,74
,TrivRep,30,42,74
,Maj-1,30,42,74
,Dist-1,30,42,74
,Assoc,30,42,74
,CompAss,30,42,74
,Relev,30,42,74
,Subst,30,42,74
,Maj-2,30,42,74
,Dist-2,30,42,74
26,InvProp,30,42,74
,TrivRep,30,42,74
,Maj-1,30,42,74
,Dist-1,30,42,74
,Assoc,30,42,74
,CompAss,30,42,74
,Relev,30,42,74
,Subst,30,42,74
,Maj-2,30,42,74
,Dist-2,30,42,74
27,InvProp,30,42,74
,TrivRep,30,42,74
,Maj-1,30,42,74
,Dist-1,30,42,74
,Assoc,30,42,74
,CompAss,30,42,74
,Relev,30,42,74
,Subst,34,48,84
,Maj-2,34,48,84
,Dist-2,34,48,84
28,InvProp,34,48,84
,TrivRep,34,48,84
,Maj-1,34,48,84
,Dist-1,34,48,84
,Assoc,34,48,84
,CompAss,34,48,84
,Relev,34,48,84
,Subst,34,48,84
,Maj-2,34,48,84
,Dist-2,34,48,84
29,InvProp,34,48,84
,TrivRep,34,48,84
